Feature,Importance
Content_Depth,0.562124
query_type_other,0.03568423
Uniqueness_zscore,0.01643025
Uniqueness_x_Relevance,0.016255235
Quality_Advantage,0.015530461
Quality_Score,0.015459195
Relevance_percentile,0.014858473
Click_Prob_rank,0.013830586
Weighted_Relevance,0.01380458
Uniqueness_percentile,0.013164768
query_length,0.013038416
Relevance,0.012790002
Authority_Score,0.012678452
Relevance_zscore,0.012018096
Relevance_x_Uniqueness,0.011996499
Relevance_rank,0.011895506
Overall_Score,0.011890871
Influence,0.0116333915
Influence_x_Position,0.011602836
Influence_zscore,0.011526032
Subjective_Count,0.011343825
Relevance_x_QueryType,0.011175121
Influence_Advantage,0.010783256
Quality_Score_percentile,0.010624184
Adjusted_Quality,0.010289803
Diversity,0.010252429
Click_Probability,0.010159653
Subjective_Position,0.010077801
Uniqueness,0.01005302
Query_Competition,0.009707483
Domain_Influence,0.009590384
Position_Score,0.009112983
Engagement_Potential,0.008752017
Influence_rank,0.008532692
Uniqueness_rank,0.008187796
Relative_Quality,0.0071624923
Influence_percentile,0.0059831957
query_type_list,0.0
query_type_opinion,0.0
num_sources,0.0
domain_freq,0.0
Domain_Consistency,0.0
Domain_Has_History,0.0
High_Quality,0.0
Top_Position,0.0
High_Influence,0.0
Influence_Relevance_Match,0.0
Quality_Position_Match,0.0
